| Character | English | Chinese | Japanese | Korean |
| Phoebe | Rebecca LaChance | Fu Tingyun (傅婷云) | Hondo Kaede (本渡楓) | Lee Bo-yong (이보용) |
| Phrolova | Rae Lim | Zhang Qi (张琦) | Fujita Saki (藤田咲) | Choi Hari (최하리) |
| Qiuyuan | Jeremy Ang Jones | Gan Ziqi (淦子齐) | Miki Shinichirō (三木眞一郎) | Kim Min-ju (김민주) |
| Roccia | Holly Earl | Shen Huasang (沈话桑) | Kohara Konomi (小原好美) | Jang Mi (장미) |
| Rover (Female) | Jane Jackson | Zhang Ruoyu (张若瑜) | Tanaka Minami (田中美海) | Song Harim (송하림) |
| Rover (Male) | Chase Brown | Ma Yang (马洋) | Masuda Toshiki (増田俊樹) | Kim Sinwoo (김신우) |
| Sanhua | Jennifer Armour | Song Yuanyuan (宋媛媛) | Matsuda Risae (松田利冴) | Yooyoung (유영) |
| Shorekeeper | Stephanie McKeon | Tang Yajing (唐雅菁) | Suwa Ayaka (諏訪彩花) | Kim Bo-na (김보나) |
| Taoqi | Clare Louise Connolly | KIYO | Yōmiya Hina (羊宮妃那) | Yi Sae-ah (이새아) |
| Verina | Heather Nicol | Zhao Shuang (赵爽) | Sasahara Yū (篠原侑) | Kang Saebom (강새봄) |
| Xiangli Yao | Shaun Mendum | Banma (斑马) | Kobayashi Chiaki (小林千晃) | Jung Eui-jin (정의진) |
| Yangyang | Rebecca Yeo | Chongchong (虫虫) | Ishikawa Yui (石川由依) | Lee Yu-ri (이유리) |
| Yinlin | Naomi McDonald | Xiao Liansha (小连杀) | Koshimizu Ami (小清水亜美) | Kang Sae-bom (강새봄) |
| Youhu | Leonora Haig | Liu Yilei (刘一蕾) | Tomita Miyu (富田美憂) | Park Si-yoon (박시윤) |
| Yuanwu | Adam Diggle | Liu Beichen (刘北辰) | Shirokuma Hiroshi (白熊寬嗣) | Park Seong-tae (박성태) |
| Zani | Alexandra Metaxa | Nie Xiying (聂曦映) | Ueda Hitomi (上田瞳) | Won Esther (원에스더) |
| Zhezhi | Shin-Fei Chen | Miao Zi (苗子) | Makino Yui (牧野由依) | Kim Ha-ru (김하루) |
